ANZSRC 2020 Code,ANZSRC 2020 Name,ANZSRC 2008 Code,Partial Match,ANZSRC 2008 Name
340403,"""Characterisation of biological macromolecules""",030403,,"""Characterisation of Biological Macromolecules"""
340404,"""Cheminformatics and quantitative structure-activity relationships""",030404,,"""Cheminformatics and Quantitative Structure-Activity Relationships"""
340405,"""Glycoconjugates""",030499,p ,"""Medicinal and Biomolecular Chemistry not elsewhere classified"""
340406,"""Molecular medicine""",030405,,"""Molecular Medicine"""
340407,"""Proteins and peptides""",030406,,"""Proteins and Peptides"""
340499,"""Medicinal and biomolecular chemistry not elsewhere classified""",030499,p ,"""Medicinal and Biomolecular Chemistry not elsewhere classified"""
340501,"""Free radical chemistry""",030501,,"""Free Radical Chemistry"""
340502,"""Natural products and bioactive compounds""",030502,,"""Natural Products Chemistry"""
340503,"""Organic chemical synthesis """,030503,,"""Organic Chemical Synthesis """
340504,"""Organic green chemistry""",030504,,"""Organic Green Chemistry"""
340505,"""Physical organic chemistry """,030505,,"""Physical Organic Chemistry """
340599,"""Organic chemistry not elsewhere classified """,030599,,"""Organic Chemistry not elsewhere classified """
340601,"""Catalysis and mechanisms of reactions""",030601,,"""Catalysis and Mechanisms of Reactions"""
340602,"""Chemical thermodynamics and energetics""",030602,,"""Chemical Thermodynamics and Energetics"""
340603,"""Colloid and surface chemistry""",030603,,"""Colloid and Surface Chemistry"""
340604,"""Electrochemistry """,030604,,"""Electrochemistry """
340605,"""Molecular imaging (incl. electron microscopy and neutron diffraction) """,030606,p ,"""Structural Chemistry and Spectroscopy"""
340606,"""Photochemistry""",030699,p ,"""Physical Chemistry not elsewhere classified"""
340607,"""Reaction kinetics and dynamics """,030703,,"""Reaction Kinetics and Dynamics """
340608,"""Solution chemistry""",030605,,"""Solution Chemistry"""
340609,"""Transport properties and non-equilibrium processes""",030607,,"""Transport Properties and Non-Equilibrium Processes"""
340699,"""Physical chemistry not elsewhere classified""",030699,p ,"""Physical Chemistry not elsewhere classified"""
340701,"""Computational chemistry""",030701,p ,"""Quantum Chemistry"""
340701,"""Computational chemistry""",030799,p ,"""Theoretical and Computational Chemistry not elsewhere classified"""
340702,"""Radiation and matter """,030702,,"""Radiation and Matter """
340703,"""Statistical mechanics in chemistry""",030704,,"""Statistical Mechanics in Chemistry"""
340704,"""Theoretical quantum chemistry""",030701,p ,"""Quantum Chemistry"""
340799,"""Theoretical and computational chemistry not elsewhere classified""",030799,p ,"""Theoretical and Computational Chemistry not elsewhere classified"""
349901,"""Forensic chemistry""",039902,,"""Forensic Chemistry"""
349999,"""Other chemical sciences not elsewhere classified""",039903,,"""Industrial Chemistry """
349999,"""Other chemical sciences not elsewhere classified""",039999,,"""Chemical Sciences not elsewhere classified"""
350101,"""Accounting theory and standards""",150101,,"""Accounting Theory and Standards"""
350102,"""Auditing and accountability""",150102,,"""Auditing and Accountability"""
350103,"""Financial accounting """,150103,,"""Financial Accounting """
350104,"""International accounting """,150104,,"""International Accounting """
350105,"""Management accounting""",150105,,"""Management Accounting"""
350106,"""Not-for-profit accounting and accountability""",150199,p ,"""Accounting, Auditing and Accountability not elsewhere classified"""
350107,"""Sustainability accounting and reporting""",150106,,"""Sustainability Accounting and Reporting"""
350108,"""Taxation accounting """,150107,,"""Taxation Accounting """
350199,"""Accounting, auditing and accountability not elsewhere classified""",150199,p ,"""Accounting, Auditing and Accountability not elsewhere classified"""
350201,"""Environment and climate finance""",150201,p ,"""Finance"""
350202,"""Finance""",150201,p ,"""Finance"""
350203,"""Financial econometrics """,150202,,"""Financial Econometrics """
350204,"""Financial institutions (incl. banking) """,150203,,"""Financial Institutions (incl. Banking) """
350205,"""Household finance and financial literacy""",150299,p ,"""Banking, Finance and Investment not elsewhere classified"""
350206,"""Insurance studies""",150204,,"""Insurance Studies"""
350207,"""International finance""",140210,p ,"""International Economics and International Finance"""
350208,"""Investment and risk management""",150205,,"""Investment and Risk Management"""
350209,"""Not-for-profit finance and risk""",150201,p ,"""Finance"""
350299,"""Banking, finance and investment not elsewhere classified""",150299,p ,"""Banking, Finance and Investment not elsewhere classified"""
350301,"""Business analytics """,150301,p ,"""Business Information Management (incl. Records, Knowledge and Information Management, and Intelligence)"""
350302,"""Business information management (incl. records, knowledge and intelligence)""",150301,p ,"""Business Information Management (incl. Records, Knowledge and Information Management, and Intelligence)"""
350303,"""Business information systems""",150302,p ,"""Business Information Systems"""
350304,"""Business systems in context""",150302,p ,"""Business Information Systems"""
350305,"""Forensic intelligence """,150399,p ,"""Business and Management not elsewhere classified"""
350306,"""Forensic science and management """,150399,p ,"""Business and Management not elsewhere classified"""
350307,"""Technology management """,150307,p ,"""Innovation and Technology Management """
350399,"""Business systems in context not elsewhere classified""",150399,p ,"""Business and Management not elsewhere classified"""
350401,"""Food and hospitality services""",150401,,"""Food and Hospitality Services"""
350402,"""Hospitality management """,150402,,"""Hospitality Management """
350403,"""Real estate and valuation services""",150403,,"""Real Estate and Valuation Services"""
350404,"""Retail""",150499,p ,"""Commercial Services not elsewhere classified"""
350405,"""Sport and leisure management""",150404,,"""Sport and Leisure Management"""
350499,"""Commercial services not elsewhere classified""",150499,p ,"""Commercial Services not elsewhere classified"""
350501,"""Business and labour history""",220201,,"""Business and Labour History"""
350502,"""Employment equity and diversity""",150305,p ,"""Human Resources Management """
350503,"""Human resources management""",150305,p ,"""Human Resources Management """
350504,"""Industrial and employee relations""",150306,,"""Industrial Relations """
350505,"""Occupational and workplace health and safety""",150399,p ,"""Business and Management not elsewhere classified"""
350506,"""Workforce planning""",150305,p ,"""Human Resources Management """
350507,"""Workplace wellbeing and quality of working life""",150305,p ,"""Human Resources Management """
350599,"""Human resources and industrial relations not elsewhere classified""",150399,p ,"""Business and Management not elsewhere classified"""
350601,"""Consumer behaviour""",150501,p ,"""Consumer-Oriented Product or Service Development"""
350602,"""Consumer-oriented product or service development""",150501,p ,"""Consumer-Oriented Product or Service Development"""
350603,"""Industrial marketing""",150503,p ,"""Marketing Management (incl. Strategy and Customer Relations)"""
350604,"""Marketing communications""",150502,,"""Marketing Communications"""
350605,"""Marketing management (incl. strategy and customer relations)""",150503,p ,"""Marketing Management (incl. Strategy and Customer Relations)"""
350606,"""Marketing research methodology""",150504,,"""Marketing Measurement"""
350606,"""Marketing research methodology""",150505,,"""Marketing Research Methodology"""
350607,"""Marketing technology""",150599,p ,"""Marketing not elsewhere classified"""
350608,"""Marketing theory""",150506,,"""Marketing Theory"""
350609,"""Not-for-profit marketing""",150599,p ,"""Marketing not elsewhere classified"""
350610,"""Pricing (incl. consumer value estimation)""",150507,,"""Pricing (incl. Consumer Value Estimation)"""
350611,"""Service marketing""",150503,p ,"""Marketing Management (incl. Strategy and Customer Relations)"""
350612,"""Social marketing""",150599,p ,"""Marketing not elsewhere classified"""
350699,"""Marketing not elsewhere classified""",150599,p ,"""Marketing not elsewhere classified"""
350701,"""Corporate governance""",150303,p ,"""Corporate Governance and Stakeholder Engagement"""
350702,"""Corporate social responsibility""",150399,p ,"""Business and Management not elsewhere classified"""
350703,"""Disaster and emergency management""",150399,p ,"""Business and Management not elsewhere classified"""
350704,"""Entrepreneurship""",150304,,"""Entrepreneurship"""
350705,"""Innovation management""",150307,p ,"""Innovation and Technology Management """
350706,"""International business""",150308,,"""International Business """
350707,"""Leadership""",150312,p ,"""Organisational Planning and Management """
350708,"""Not-for-profit business and management""",150399,p ,"""Business and Management not elsewhere classified"""
350709,"""Organisation and management theory""",150310,,"""Organisation and Management Theory"""
350710,"""Organisational behaviour""",150311,,"""Organisational Behaviour"""
350711,"""Organisational planning and management""",150312,p ,"""Organisational Planning and Management """
350712,"""Production and operations management""",150313,p ,"""Quality Management """
350713,"""Project management""",150399,p ,"""Business and Management not elsewhere classified"""
350714,"""Public sector organisation and management""",150399,p ,"""Business and Management not elsewhere classified"""
350715,"""Quality management""",150313,p ,"""Quality Management """
350716,"""Small business organisation and management""",150314,,"""Small Business Management"""
350717,"""Stakeholder engagement""",150303,p ,"""Corporate Governance and Stakeholder Engagement"""
350718,"""Strategy""",150312,p ,"""Organisational Planning and Management """
350799,"""Strategy, management and organisational behaviour not elsewhere classified""",150399,p ,"""Business and Management not elsewhere classified"""
350801,"""Impacts of tourism """,150601,,"""Impacts of Tourism """
350802,"""Tourism forecasting""",150602,,"""Tourism Forecasting"""
350803,"""Tourism management """,150603,,"""Tourism Management """
350804,"""Tourism marketing""",150604,,"""Tourism Marketing"""
350805,"""Tourism resource appraisal """,150605,,"""Tourism Resource Appraisal """
350806,"""Tourist behaviour and visitor experience""",150606,,"""Tourist Behaviour and Visitor Experience"""
350899,"""Tourism not elsewhere classified """,150699,,"""Tourism not elsewhere classified """
350901,"""Air transportation and freight services""",150701,,"""Air Transportation and Freight Services"""
350902,"""Intelligent mobility""",150799,p ,"""Transportation and Freight Services not elsewhere classified"""
350903,"""Logistics """,150309,p ,"""Logistics and Supply Chain Management"""
350904,"""Maritime transportation and freight services""",150799,p ,"""Transportation and Freight Services not elsewhere classified"""
350905,"""Passenger needs""",150799,p ,"""Transportation and Freight Services not elsewhere classified"""
350906,"""Public transport""",150799,p ,"""Transportation and Freight Services not elsewhere classified"""
350907,"""Rail transportation and freight services""",150702,,"""Rail Transportation and Freight Services"""
350908,"""Road transportation and freight services""",150703,,"""Road Transportation and Freight Services"""
350909,"""Supply chains""",150309,p ,"""Logistics and Supply Chain Management"""
350999,"""Transportation, logistics and supply chains not elsewhere classified""",150799,p ,"""Transportation and Freight Services not elsewhere classified"""
359999,"""Other commerce, management, tourism and services not elsewhere classified""",159999,,"""Commerce, Management, Tourism and Services not elsewhere classified"""
360101,"""Art criticism""",190101,,"""Art Criticism"""
360102,"""Art history""",190102,,"""Art History"""
360103,"""Art theory""",190103,,"""Art Theory"""
360104,"""Visual cultures""",190104,,"""Visual Cultures"""
360199,"""Art history, theory and criticism not elsewhere classified""",190199,,"""Art Theory and Criticism not elsewhere classified"""
360201,"""Creative writing (incl. scriptwriting)""",190402,p ,"""Creative Writing (incl. Playwriting)"""
360202,"""Digital writing""",190499,p ,"""Performing Arts and Creative Writing not elsewhere classified """
360203,"""Professional writing and journalism practice""",190302,,"""Professional Writing"""
360204,"""Site-based writing""",190402,p ,"""Creative Writing (incl. Playwriting)"""
360205,"""Technical writing""",190303,,"""Technical Writing"""
360299,"""Creative and professional writing not elsewhere classified""",190399,,"""Journalism and Professional Writing not elsewhere classified"""
360299,"""Creative and professional writing not elsewhere classified""",190499,p ,"""Performing Arts and Creative Writing not elsewhere classified """
360299,"""Creative and professional writing not elsewhere classified""",199999,p ,"""Studies in Creative Arts and Writing not elsewhere classified"""
360301,"""Music cognition""",190406,p ,"""Music Composition"""
360301,"""Music cognition""",190408,p ,"""Music Therapy"""
360301,"""Music cognition""",190499,p ,"""Performing Arts and Creative Writing not elsewhere classified """
360302,"""Music composition and improvisation""",190406,p ,"""Music Composition"""
360303,"""Music education""",190406,p ,"""Music Composition"""
360303,"""Music education""",190409,p ,"""Musicology and Ethnomusicology"""
360304,"""Music performance""",190407,p ,"""Music Performance"""
360305,"""Music technology and recording""",190407,p ,"""Music Performance"""
360306,"""Musicology and ethnomusicology""",190409,p ,"""Musicology and Ethnomusicology"""
360399,"""Music not elsewhere classified""",190499,p ,"""Performing Arts and Creative Writing not elsewhere classified """
360401,"""Applied theatre""",190404,p ,"""Drama, Theatre and Performance Studies"""
360402,"""Dance and dance studies""",190403,,"""Dance"""
360403,"""Drama, theatre and performance studies""",190404,p ,"""Drama, Theatre and Performance Studies"""
360499,"""Performing arts not elsewhere classified """,190499,p ,"""Performing Arts and Creative Writing not elsewhere classified """
360501,"""Cinema studies""",190201,,"""Cinema Studies """
360502,"""Computer gaming and animation""",190202,,"""Computer Gaming and Animation"""
360503,"""Digital and electronic media art""",190203,,"""Electronic Media Art"""
360504,"""Interactive media""",190205,p ,"""Interactive Media"""
360505,"""Screen media""",190204,,"""Film and Television"""
360506,"""Visual effects""",190205,p ,"""Interactive Media"""
360599,"""Screen and digital media not elsewhere classified""",190299,,"""Film, Television and Digital Media not elsewhere classified"""
360601,"""Crafts """,190501,,"""Crafts """
360602,"""Fine arts""",190502,,"""Fine Arts (incl. Sculpture and Painting) """
360603,"""Performance art""",190504,,"""Performance and Installation Art"""
360604,"""Photography, video and lens-based practice""",190503,,"""Lens-Based Practice"""
360699,"""Visual arts not elsewhere classified""",190599,,"""Visual Arts and Crafts not elsewhere classified"""
369999,"""Other creative arts and writing not elsewhere classified""",199999,p ,"""Studies in Creative Arts and Writing not elsewhere classified"""
370101,"""Adverse weather events""",040199,p ,"""Atmospheric Sciences not elsewhere classified"""
370101,"""Adverse weather events""",040699,p ,"""Physical Geography and Environmental Geoscience not elsewhere classified"""
370102,"""Air pollution processes and air quality measurement""",040199,p ,"""Atmospheric Sciences not elsewhere classified"""
370103,"""Atmospheric aerosols""",040101,,"""Atmospheric Aerosols"""
370104,"""Atmospheric composition, chemistry and processes""",039901,,"""Environmental Chemistry (incl. Atmospheric Chemistry)"""
370105,"""Atmospheric dynamics""",040102,,"""Atmospheric Dynamics"""
370106,"""Atmospheric radiation""",040103,,"""Atmospheric Radiation"""
370107,"""Cloud physics""",040106,,"""Cloud Physics"""
370108,"""Meteorology""",040107,,"""Meteorology"""
370109,"""Tropospheric and stratospheric physics""",040108,,"""Tropospheric and Stratospheric Physics"""
370199,"""Atmospheric sciences not elsewhere classified""",040199,p ,"""Atmospheric Sciences not elsewhere classified"""
370201,"""Climate change processes""",040104,p ,"""Climate Change Processes"""
370202,"""Climatology""",040104,p ,"""Climate Change Processes"""
370202,"""Climatology""",040105,,"""Climatology (excl. Climate Change Processes)"""
370203,"""Greenhouse gas inventories and fluxes""",040104,p ,"""Climate Change Processes"""
370299,"""Climate change science not elsewhere classified""",040104,p ,"""Climate Change Processes"""
370301,"""Exploration geochemistry""",040201,,"""Exploration Geochemistry"""
370302,"""Inorganic geochemistry""",040202,,"""Inorganic Geochemistry"""
370303,"""Isotope geochemistry""",040203,,"""Isotope Geochemistry"""
370304,"""Organic geochemistry""",040204,,"""Organic Geochemistry"""
370399,"""Geochemistry not elsewhere classified""",040299,,"""Geochemistry not elsewhere classified"""
370401,"""Computational modelling and simulation in earth sciences""",049999,p ,"""Earth Sciences not elsewhere classified"""
370402,"""Earth and space science informatics""",049999,p ,"""Earth Sciences not elsewhere classified"""
370403,"""Geoscience data visualisation""",049999,p ,"""Earth Sciences not elsewhere classified"""
370499,"""Geoinformatics not elsewhere classified""",049999,p ,"""Earth Sciences not elsewhere classified"""
370501,"""Biomineralisation""",040306,p ,"""Mineralogy and Crystallography"""
370501,"""Biomineralisation""",040399,p ,"""Geology not elsewhere classified"""
370502,"""Geochronology""",040303,,"""Geochronology"""
370503,"""Igneous and metamorphic petrology""",040304,,"""Igneous and Metamorphic Petrology"""
370504,"""Marine geoscience""",040305,,"""Marine Geoscience"""
370505,"""Mineralogy and crystallography""",040306,p ,"""Mineralogy and Crystallography"""
370506,"""Palaeontology (incl. palynology)""",040308,,"""Palaeontology (incl. Palynology)"""
370507,"""Planetary geology""",040302,,"""Extraterrestrial Geology"""
370508,"""Resource geoscience""",040307,,"""Ore Deposit Petrology"""
370508,"""Resource geoscience""",040309,,"""Petroleum and Coal Geology"""
370509,"""Sedimentology""",040310,,"""Sedimentology"""
370510,"""Stratigraphy (incl. biostratigraphy, sequence stratigraphy and basin analysis)""",040301,,"""Basin Analysis"""
370510,"""Stratigraphy (incl. biostratigraphy, sequence stratigraphy and basin analysis)""",040311,,"""Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy)"""
370511,"""Structural geology and tectonics""",040312,,"""Structural Geology"""
370511,"""Structural geology and tectonics""",040313,,"""Tectonics"""
370512,"""Volcanology""",040314,,"""Volcanology"""
370599,"""Geology not elsewhere classified""",040399,p ,"""Geology not elsewhere classified"""
370601,"""Applied geophysics """,040499,p ,"""Geophysics not elsewhere classified"""
370602,"""Electrical and electromagnetic methods in geophysics""",040401,,"""Electrical and Electromagnetic Methods in Geophysics"""
370603,"""Geodesy""",090902,,"""Geodesy"""
370604,"""Geodynamics""",040402,,"""Geodynamics"""
370605,"""Geothermics and radiometrics""",040404,,"""Geothermics and Radiometrics"""
370606,"""Gravimetrics""",040405,,"""Gravimetrics"""
370607,"""Magnetism and palaeomagnetism""",040406,,"""Magnetism and Palaeomagnetism"""
370608,"""Petrophysics and rock mechanics""",040499,p ,"""Geophysics not elsewhere classified"""
370609,"""Seismology and seismic exploration""",040407,,"""Seismology and Seismic Exploration"""
370699,"""Geophysics not elsewhere classified""",040499,p ,"""Geophysics not elsewhere classified"""
370701,"""Contaminant hydrology""",040603,p ,"""Hydrogeology"""
370702,"""Ecohydrology""",040603,p ,"""Hydrogeology"""
370703,"""Groundwater hydrology""",040603,p ,"""Hydrogeology"""
370704,"""Surface water hydrology""",040608,,"""Surfacewater Hydrology"""
370705,"""Urban hydrology""",040603,p ,"""Hydrogeology"""
370799,"""Hydrology not elsewhere classified""",040603,p ,"""Hydrogeology"""
370801,"""Biological oceanography""",040501,,"""Biological Oceanography"""
370802,"""Chemical oceanography""",040502,,"""Chemical Oceanography"""
370803,"""Physical oceanography""",040503,,"""Physical Oceanography"""
370899,"""Oceanography not elsewhere classified""",040599,,"""Oceanography not elsewhere classified"""
370901,"""Geomorphology and earth surface processes""",040601,p ,"""Geomorphology and Regolith and Landscape Evolution"""
370901,"""Geomorphology and earth surface processes""",040607,,"""Surface Processes"""
370902,"""Glaciology""",040602,,"""Glaciology"""
370903,"""Natural hazards""",040604,,"""Natural Hazards"""
370904,"""Palaeoclimatology""",040605,,"""Palaeoclimatology"""
370905,"""Quaternary environments""",040606,,"""Quaternary Environments"""
370906,"""Regolith and landscape evolution""",040601,p ,"""Geomorphology and Regolith and Landscape Evolution"""
370999,"""Physical geography and environmental geoscience not elsewhere classified""",040699,p ,"""Physical Geography and Environmental Geoscience not elsewhere classified"""
379901,"""Earth system sciences""",049999,p ,"""Earth Sciences not elsewhere classified"""
379999,"""Other earth sciences not elsewhere classified""",049999,p ,"""Earth Sciences not elsewhere classified"""
380101,"""Agricultural economics """,140201,,"""Agricultural Economics """
380102,"""Behavioural economics""",140299,p ,"""Applied Economics not elsewhere classified """
380103,"""Economic history""",140203,,"""Economic History"""
380104,"""Economics of education """,140204,,"""Economics of Education """
380105,"""Environment and resource economics """,140205,,"""Environment and Resource Economics """
380106,"""Experimental economics""",140206,,"""Experimental Economics"""
380107,"""Financial economics""",140207,,"""Financial Economics"""
380108,"""Health economics """,140208,,"""Health Economics """
380109,"""Industry economics and industrial organisation """,140209,,"""Industry Economics and Industrial Organisation """
380110,"""International economics""",140210,p ,"""International Economics and International Finance"""
380111,"""Labour economics """,140211,p ,"""Labour Economics """
380112,"""Macroeconomics (incl. monetary and fiscal theory)""",140212,,"""Macroeconomics (Incl. Monetary and Fiscal Theory)"""
380113,"""Public economics - public choice""",140213,p ,"""Public Economics - Public Choice"""
380114,"""Public economics - publicly provided goods""",140214,,"""Public Economics - Publically Provided Goods"""
380115,"""Public economics - taxation and revenue""",140215,,"""Public Economics - Taxation and Revenue"""
380116,"""Tourism economics""",140216,,"""Tourism Economics"""
380117,"""Transport economics""",140217,,"""Transport Economics"""
380118,"""Urban and regional economics """,140218,,"""Urban and Regional Economics """
380119,"""Welfare economics""",140219,,"""Welfare Economics"""
380199,"""Applied economics not elsewhere classified """,140299,p ,"""Applied Economics not elsewhere classified """
380201,"""Cross-sectional analysis """,140301,,"""Cross-Sectional Analysis """
380202,"""Econometric and statistical methods""",140302,,"""Econometric and Statistical Methods"""
380203,"""Economic models and forecasting""",140303,,"""Economic Models and Forecasting"""
380204,"""Panel data analysis""",140304,,"""Panel Data Analysis"""
380205,"""Time-series analysis """,140305,,"""Time-Series Analysis """
380299,"""Econometrics not elsewhere classified""",140399,,"""Econometrics not elsewhere classified"""
380301,"""History of economic thought""",140101,,"""History of Economic Thought"""
380302,"""Macroeconomic theory """,140102,,"""Macroeconomic Theory """
380303,"""Mathematical economics """,140103,,"""Mathematical Economics """
380304,"""Microeconomic theory """,140104,,"""Microeconomic Theory """
380399,"""Economic theory not elsewhere classified """,140199,,"""Economic Theory not elsewhere classified """
389901,"""Comparative economic systems """,149901,,"""Comparative economic systems """
389902,"""Ecological economics""",149902,,"""Ecological economics"""
389903,"""Heterodox economics""",149903,,"""Heterodox economics"""
389999,"""Other economics not elsewhere classified """,149999,,"""Economics not elsewhere classified """
390101,"""Creative arts, media and communication curriculum and pedagogy""",130201,,"""Creative Arts, Media and Communication Curriculum and Pedagogy"""
390102,"""Curriculum and pedagogy theory and development""",130202,,"""Curriculum and Pedagogy Theory and Development"""
390103,"""Economics, business and management curriculum and pedagogy""",130203,,"""Economics, Business and Management Curriculum and Pedagogy"""
390104,"""English and literacy curriculum and pedagogy (excl. LOTE, ESL and TESOL)""",130204,,"""English and Literacy Curriculum and Pedagogy (excl. LOTE, ESL and TESOL)"""
390105,"""Environmental education curriculum and pedagogy""",130299,p ,"""Curriculum and Pedagogy not elsewhere classified"""
390106,"""Geography education curriculum and pedagogy""",130205,p ,"""Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)"""
390107,"""Humanities and social sciences curriculum and pedagogy (excl. economics, business and management)""",130205,p ,"""Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)"""
390108,"""LOTE, ESL and TESOL curriculum and pedagogy""",130207,,"""LOTE, ESL and TESOL Curriculum and Pedagogy (excl. Māori)"""
390109,"""Mathematics and numeracy curriculum and pedagogy""",130208,,"""Mathematics and Numeracy Curriculum and Pedagogy"""
390110,"""Medicine, nursing and health curriculum and pedagogy""",130209,,"""Medicine, Nursing and Health Curriculum and Pedagogy"""
390111,"""Physical education and development curriculum and pedagogy""",130210,,"""Physical Education and Development Curriculum and Pedagogy"""
390112,"""Religion curriculum and pedagogy""",130211,,"""Religion Curriculum and Pedagogy"""
390113,"""Science, technology and engineering curriculum and pedagogy""",130212,p ,"""Science, Technology and Engineering Curriculum and Pedagogy"""
390114,"""Vocational education and training curriculum and pedagogy""",130213,p ,"""Vocational Education and Training Curriculum and Pedagogy"""
390115,"""Work integrated learning (incl. internships)""",130213,p ,"""Vocational Education and Training Curriculum and Pedagogy"""
390199,"""Curriculum and pedagogy not elsewhere classified""",130299,p ,"""Curriculum and Pedagogy not elsewhere classified"""
390201,"""Education policy""",160506,p ,"""Education Policy"""
390202,"""History and philosophy of education""",220202,p ,"""History and Philosophy of Engineering and Technology"""
390202,"""History and philosophy of education""",220202,p ,"""History and Philosophy of Education"""
390203,"""Sociology of education """,160809,,"""Sociology of Education"""
390299,"""Education policy, sociology and philosophy not elsewhere classified""",160506,p ,"""Education Policy"""
390301,"""Continuing and community education""",130101,,"""Continuing and Community Education"""
390302,"""Early childhood education""",130102,,"""Early Childhood Education (excl. Māori)"""
390303,"""Higher education""",130103,,"""Higher Education"""
390304,"""Primary education""",130105,,"""Primary Education (excl. Māori)"""
390305,"""Professional education and training""",130313,p ,"""Teacher Education and Professional Development of Educators"""
390306,"""Secondary education""",130106,,"""Secondary Education"""
390307,"""Teacher education and professional development of educators""",130313,p ,"""Teacher Education and Professional Development of Educators"""
390308,"""Technical, further and workplace education""",130108,,"""Technical, Further and Workplace Education"""
390399,"""Education systems not elsewhere classified""",130199,,"""Education Systems not elsewhere classified"""
390401,"""Comparative and cross-cultural education""",130302,,"""Comparative and Cross-Cultural Education"""
390402,"""Education assessment and evaluation""",130303,,"""Education Assessment and Evaluation"""
390403,"""Educational administration, management and leadership""",130304,,"""Educational Administration, Management and Leadership"""
390404,"""Educational counselling""",130305,,"""Educational Counselling"""
390405,"""Educational technology and computing""",130306,,"""Educational Technology and Computing"""
390406,"""Gender, sexuality and education""",130308,,"""Gender, Sexuality and Education"""
390407,"""Inclusive education""",130312,p ,"""Special Education and Disability"""
390408,"""Learning analytics""",130309,p ,"""Learning Sciences"""
390409,"""Learning sciences""",130309,p ,"""Learning Sciences"""
390410,"""Multicultural education (excl. Aboriginal and Torres Strait Islander, Māori and Pacific Peoples)""",130307,,"""Ethnic Education (excl. Aboriginal and Torres Strait Islander, Māori and Pacific Peoples)"""
390411,"""Special education and disability""",130312,p ,"""Special Education and Disability"""
390412,"""Teacher and student wellbeing""",130399,p ,"""Specialist Studies in Education not elsewhere classified"""
390499,"""Specialist studies in education not elsewhere classified""",130399,p ,"""Specialist Studies in Education not elsewhere classified"""
399999,"""Other education not elsewhere classified""",139999,p,"""Education not elsewhere classified"""
400101,"""Aerospace materials""",090102,,"""Aerospace Materials"""
400102,"""Aerospace structures """,090103,,"""Aerospace Structures """
400103,"""Aircraft performance and flight control systems""",090104,,"""Aircraft Performance and Flight Control Systems"""
400104,"""Avionics""",090105,,"""Avionics"""
400105,"""Flight dynamics""",090106,,"""Flight Dynamics"""
400106,"""Hypersonic propulsion and hypersonic aerothermodynamics""",090107,,"""Hypersonic Propulsion and Hypersonic Aerodynamics"""
400107,"""Satellite, space vehicle and missile design and testing""",090108,,"""Satellite, Space Vehicle and Missile Design and Testing"""
400199,"""Aerospace engineering not elsewhere classified""",090199,p ,"""Aerospace Engineering not elsewhere classified"""
400201,"""Automotive combustion and fuel engineering""",090201,,"""Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)"""
400202,"""Automotive engineering materials """,090202,,"""Automotive Engineering Materials """
400203,"""Automotive mechatronics and autonomous systems """,090203,,"""Automotive Mechatronics"""
400204,"""Automotive safety engineering""",090204,,"""Automotive Safety Engineering"""
400205,"""Hybrid and electric vehicles and powertrains""",090205,,"""Hybrid Vehicles and Powertrains"""
400299,"""Automotive engineering not elsewhere classified""",090299,,"""Automotive Engineering not elsewhere classified"""
400301,"""Biofabrication""",090399,p ,"""Biomedical Engineering not elsewhere classified"""
400302,"""Biomaterials """,090301,,"""Biomaterials """
400303,"""Biomechanical engineering""",090302,,"""Biomechanical Engineering"""
400304,"""Biomedical imaging""",090399,p ,"""Biomedical Engineering not elsewhere classified"""
400305,"""Biomedical instrumentation""",090303,,"""Biomedical Instrumentation"""
400306,"""Computational physiology""",090399,p ,"""Biomedical Engineering not elsewhere classified"""
400307,"""Mechanobiology""",090399,p ,"""Biomedical Engineering not elsewhere classified"""
400308,"""Medical devices""",090304,,"""Medical Devices"""
400309,"""Neural engineering""",090399,p ,"""Biomedical Engineering not elsewhere classified"""
400310,"""Rehabilitation engineering """,090305,,"""Rehabilitation Engineering """
400311,"""Tissue engineering""",100404,p ,"""Regenerative medicine (incl. Stem Cells and Tissue Engineering)"""
400399,"""Biomedical engineering not elsewhere classified""",090399,p ,"""Biomedical Engineering not elsewhere classified"""
400401,"""Carbon capture engineering (excl. sequestration)""",090401,,"""Carbon Capture Engineering (excl. Sequestration)"""
400402,"""Chemical and thermal processes in energy and combustion""",090405,,"""Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)"""
400403,"""Chemical engineering design""",090403,,"""Chemical Engineering Design"""
400404,"""Electrochemical energy storage and conversion""",090499,p ,"""Chemical Engineering not elsewhere classified"""
400405,"""Food engineering """,090802,p ,"""Food Engineering """
400406,"""Powder and particle technology""",090406,,"""Powder and Particle Technology"""
400407,"""Process control and simulation """,090407,,"""Process Control and Simulation """
400408,"""Reaction engineering (excl. nuclear reactions)""",090402,,"""Catalytic Process Engineering"""
400409,"""Separation technologies""",090404,,"""Membrane and Separation Technologies"""
400410,"""Wastewater treatment processes""",090409,,"""Wastewater Treatment Processes"""
400410,"""Wastewater treatment processes""",090508,p ,"""Water Quality Engineering"""
400411,"""Water treatment processes""",090410,,"""Water Treatment Processes"""
400411,"""Water treatment processes""",090508,p ,"""Water Quality Engineering"""
